title,actual,predicted
media condemns julian assange reckless exposure could spending time,Onion Article,Real Article
military defends controversial decision test kilauea volcano hawaiian civilians,Onion Article,Real Article
olympic drug testing official left horribly disfigured coming contact russian urine,Onion Article,Real Article
obama urges young voters ignore many lousy candidates democratic party runs,Onion Article,Real Article
thousands students nationwide walk schools gun protest,Onion Article,Real Article
university nevada renames vito corleone school business following latest accusations benefactor,Onion Article,Real Article
bernie sanders holds secret campaign meeting democratic donors,Onion Article,Real Article
national security council distracted whimpering jared kushner pawing door throughout meeting,Onion Article,Real Article
new voting machine allows americans take frustration casting ballot,Onion Article,Real Article
nfl implements new court date attire regulations,Onion Article,Real Article
william barr shows congress testify reading email wrong,Onion Article,Real Article
chris brown refuses victim australia minister women,Onion Article,Real Article
police union decries egregious carriage justice amber guyger murder conviction,Onion Article,Real Article
john bolton attack two saudi oil tankers attack americans,Onion Article,Real Article
weather channel accused bias,Onion Article,Real Article
disheartened man expected least one text checking phone flight,Onion Article,Real Article
survey rich people likely disapprove participation trophies american voices,Onion Article,Real Article
republicans take senate onion midterm elections,Onion Article,Real Article
donald trump president united states spontaneously reports subconscious first calm moment day,Onion Article,Real Article
behold children others,Onion Article,Real Article
government admits behind destruction north tower,Onion Article,Real Article
rod blagojevich trying sell presidential commutation cellmate million,Onion Article,Real Article
nervous steve bannon entire class interns amid calls removal,Onion Article,Real Article
charlie hebdo attack,Onion Article,Real Article
weak exhausted nancy pelosi given saline drip following attempt stand firm convictions,Onion Article,Real Article
chinese factory workers fear may never replaced machines,Onion Article,Real Article
online university allows students amass crippling debt pace,Onion Article,Real Article
biden unveils new health initiative make women hotter,Onion Article,Real Article
liberty university board concerned falwell corruption risks undercutting college mission subjugating women gay people,Onion Article,Real Article
experts ebola vaccine least white people away,Onion Article,Real Article
bill cosby feeling disoriented jury slips conviction verdict,Onion Article,Real Article
greek populace woken angela merkel voice booming loudspeakers across country,Onion Article,Real Article
chance diplomacy state department hoping president trump convince queen elizabeth stop developing nuclear weapons attic,Onion Article,Real Article
bangor police bring stephen king help track demonic car killed woman,Onion Article,Real Article
trump possible trouble tweets,Onion Article,Real Article
boss wants know work late year,Onion Article,Real Article
video powerful digital simulation democrat republican understanding fill hope,Onion Article,Real Article
top drones,Onion Article,Real Article
silicon valley startup seeks change way women flee tech industry,Onion Article,Real Article
transition team assures public trump many conflicts interest favor specific one,Onion Article,Real Article
airport security raked nearly loose change last year,Onion Article,Real Article
house wayans means committee approves million funding white chicks sequel,Onion Article,Real Article
news vigilante justice fail reddit mistakenly identified muslim college student hurricane irma,Onion Article,Real Article
cnn panelists warn north korea situation way complex discuss intelligently,Onion Article,Real Article
boss wants friendly relaxed company culture place friday,Onion Article,Real Article
kim jong il announces plan bring moon north korea,Onion Article,Real Article
americans freed north korea sent back pyongyang denuclearization talks fall,Onion Article,Real Article
fidel castro dies,Onion Article,Real Article
exxonmobil vows lenient treatment species surrenders voluntarily,Onion Article,Real Article
white house press corps wishes show solidarity banned reporter could better news organization cnn,Onion Article,Real Article
alabama cracks abortions outlawing medical procedures,Onion Article,Real Article
herman cain withdraws fed consideration,Onion Article,Real Article
gop leaders celebrate passing point return,Onion Article,Real Article
review crash team racing delivers speed savagery fun felt since third dui,Onion Article,Real Article
trump boys beg father nominate joe action figure cobra commander va secretary,Onion Article,Real Article
judge book cover town scared undead clown chops people apart axe learned kills committed sin lust,Onion Article,Real Article
hillary clinton appears rally completely nude bid authenticity,Onion Article,Real Article
nuclear warhead thrilled chance finally escape north korea,Onion Article,Real Article
william barr declares mueller investigation fully exonerates members reagan administration involvement,Onion Article,Real Article
hillary clinton asks college grads use emojis describe feelings student loan debt,Onion Article,Real Article
social media linked increased loneliness,Onion Article,Real Article
james comey quickly reopens clinton email investigation minutes,Onion Article,Real Article
newborn prince cambridge begins consolidating power family imprisoned tower london,Onion Article,Real Article
supreme court releases young scalia audition tape,Onion Article,Real Article
trump ramps attacks john mccain dragging senator exhumed corpse behind motorcade,Onion Article,Real Article
naacp issues travel warning black americans visiting backyards,Onion Article,Real Article
heartbreaking economist broke tears cnn seeing line graph depicting economic impact locking migrant families detention centers,Onion Article,Real Article
new york times offers disclose whistleblower identity readers subscribe next hours,Onion Article,Real Article
ruby tuesday waiter warns jill stein green party response trump speech disrupting diners,Onion Article,Real Article
billy bush trump voice access hollywood tape,Real Article,Onion Article
trump father ucla player shoplifting case fool,Real Article,Onion Article
trump friends north korea kim possible,Real Article,Onion Article
sesame lobbyists cheer warmer welcome trump white house,Real Article,Onion Article
paul manafort rick gates,Real Article,Onion Article
trump one really knows much tax plan would generate,Real Article,Onion Article
trump says one thing work north korea,Real Article,Onion Article
trump says north korea kim tested like never,Real Article,Onion Article
trump says heart immigrant,Real Article,Onion Article
trump said see asked whether would attack north korea,Real Article,Onion Article
clinton book says trump debate stalking made skin crawl,Real Article,Onion Article
trump make day trip washington vacation white house,Real Article,Onion Article
van niekerk forced work way tantalizing final,Real Article,Onion Article
boy scouts america apologizes trump rhetoric,Real Article,Onion Article
trump gives boy scouts jamboree taste washington politics,Real Article,Onion Article
sean spicer show white house spokesman brief season,Real Article,Onion Article
kid rock hints online run senate,Real Article,Onion Article
yes boy obama returns indonesia family vacation,Real Article,Onion Article
boehner trump disaster,Real Article,Onion Article
trump spends time predecessors white house bubble,Real Article,Onion Article
exclusive trump says thought president would easier old life,Real Article,Onion Article
manufacturers wall street getting trump ear first days,Real Article,Onion Article
trump says north korea problem taken care,Real Article,Onion Article
trump donates salary national park service,Real Article,Onion Article
trump daughter ivanka get west wing office,Real Article,Onion Article
timeline tvs microwaves white house tries explain wiretapping charge,Real Article,Onion Article
really tremendous trump mimic alec baldwin white house,Real Article,Onion Article
iranian students feel robbed american dreams,Real Article,Onion Article
trump unpredictability already troubles friends,Real Article,Onion Article
crowd controversy making inauguration day photo,Real Article,Onion Article
trump resigned trump organization white house,Real Article,Onion Article
one habit trump says keep president tweeting,Real Article,Onion Article
fake news trump presides turbulent news conference,Real Article,Onion Article
mormon tabernacle choir member resigns rather sing trump,Real Article,Onion Article
trump says funny night live audience soars,Real Article,Onion Article
time magazine names trump person year,Real Article,Onion Article
trump attends heroes costume party dressed,Real Article,Onion Article
americans back facts news stories pew survey,Real Article,Onion Article
colleges could prosper trump barron,Real Article,Onion Article
trump votes came cheap,Real Article,Onion Article
facebook partners news outlets election day live video blitz,Real Article,Onion Article
mississippi church burned vandalized trump,Real Article,Onion Article
woman ken bone election viral stars hit halloween,Real Article,Onion Article
donald trump hollywood walk fame star vandalized video,Real Article,Onion Article
rigged elections nasty woman trump scorched earth tactics little upside,Real Article,Onion Article
trump touched us inappropriately two women tell new york times,Real Article,Onion Article
trump fan spreads word back home,Real Article,Onion Article
commentary manic evasive veep guys sure feel like leaders,Real Article,Onion Article
get sick campaign trail little sleep bad food germs everywhere,Real Article,Onion Article
trump says clinton could shoot someone prosecuted,Real Article,Onion Article
naked donald trump statue auction could fetch,Real Article,Onion Article
biden trump already making country less safe,Real Article,Onion Article
clint eastwood trump says things people,Real Article,Onion Article
trump clinton nice guy,Real Article,Onion Article
obama dark trump vision really jibe facts,Real Article,Onion Article
trump new fundraising machine ramps,Real Article,Onion Article
melania trump rnc speech produces tv audience,Real Article,Onion Article
committed bringing american hostages home,Real Article,Onion Article
donald trump going golf par course,Real Article,Onion Article
obama family explores room cavern national parks tour,Real Article,Onion Article
obama lauds denver broncos peyton manning super bowl win,Real Article,Onion Article
west point academy set first woman dean two century history,Real Article,Onion Article
capitol replacing flag display confederate imagery,Real Article,Onion Article
obamas donated less charities income slipped,Real Article,Onion Article
thornton arkansas congressman figured nixon impeachment dies,Real Article,Onion Article
trump jobs homecoming long shot even manufacturing hot spots,Real Article,Onion Article
bernie sanders ghost tweeter keeps brooklyn accent,Real Article,Onion Article
graphic account hulk hogan sex tape read florida court,Real Article,Onion Article
nancy reagan remembered funeral fierce loyalty husband,Real Article,Onion Article
rubio says regrets getting personal donald trump,Real Article,Onion Article
obama health still using nicotine gum doctor,Real Article,Onion Article
george bush make first appearance brother jeb,Real Article,Onion Article
clinton clear trump friends people magazine,Real Article,Onion Article
trump sadness losing iowa,Real Article,Onion Article
trump says entirely sure attend fox news debate,Real Article,Onion Article
fancy revolution try yearning ice cream,Real Article,Onion Article
trump fans iowa cheer debate performance,Real Article,Onion Article
japanese woman confined parents years found frozen death police,Real Article,Onion Article
pictures year picture story,Real Article,Onion Article
neapolitan pizza making wins world heritage status,Real Article,Onion Article
evicted white zimbabwean farmer told going home,Real Article,Onion Article
officials warn isis new caliphate cyberspace,Real Article,Onion Article
north korea images suggest missile capable hitting america experts,Real Article,Onion Article
marine accused drunk driving japanese man dies crash,Real Article,Onion Article
official photo released mark wedding anniversary queen elizabeth,Real Article,Onion Article
mob boss mass murderer riina dies natural causes,Real Article,Onion Article
russia rt america registers agent,Real Article,Onion Article
north korea says blame ever situation,Real Article,Onion Article
trump friends north korea kim possible,Real Article,Onion Article
china sitting,Real Article,Onion Article
palestinians love slum place live,Real Article,Onion Article
world stateless deserve nationality unhcr,Real Article,Onion Article
internet living great firewall china,Real Article,Onion Article
young chinese woman chases dream abroad looks wistfully home,Real Article,Onion Article
rescued couple reunited family receiving medical attention,Real Article,Onion Article
rare look inside society iraq,Real Article,Onion Article
bulgarians use dating get know migrants,Real Article,Onion Article
china richest man built fortune even debt mountain climbed,Real Article,Onion Article
trump says one thing work north korea,Real Article,Onion Article
student held north korea died oxygen starved brain coroner,Real Article,Onion Article
north korea insists student warmbier tortured,Real Article,Onion Article
north korea says rockets trump dubs kim man,Real Article,Onion Article
trump says north korea kim tested like never,Real Article,Onion Article
pope candidly admits church late confronting abuse,Real Article,Onion Article
lost luggage mischievous singapore handler sent bags astray world best airport,Real Article,Onion Article
pence tells america first mean america alone,Real Article,Onion Article
pope medellin recalls memory narco wars,Real Article,Onion Article
pope see medellin put drug wars past,Real Article,Onion Article
mother fight discover fate dead baby body finds empty coffin,Real Article,Onion Article
pope francis consulted psychoanalyst book,Real Article,Onion Article
people princess britons work keep memory alive,Real Article,Onion Article
